Facebook,Forest City,United States,28.661479,-81.444877
Facebook,Lulea,Sweden,65.5841501,22.1546497
Facebook,Altoona,United States,41.646112,-93.475804
Facebook,Prineville,United States,44.298833,-120.859395
Facebook,Fort Worth,United States,32.725409,-97.3208466
Facebook,Clonee,Ireland,53.410562,-6.4426
Facebook,Los Lunas,United States,34.812554,-106.780263
Facebook,Ashburn,United States,39.031176,-77.470283
Twitter,Atlanta,United States,33.7489954,-84.3879852
Twitter,Sacramento,United States,38.5815719,-121.4944
Twitter,Salt Lake City,United States,40.776928,-111.930991
Twitter,Santa Clara,United States,37.364626,-121.967927
Instagram,Forest City,United States,28.661479,-81.444877
Instagram,Lulea,Sweden,65.5841501,22.1546497
Instagram,Altoona,United States,41.646112,-93.475804
Instagram,Prineville,United States,44.298833,-120.859395
Instagram,Fort Worth,United States,32.725409,-97.3208466
Instagram,Clonee,Ireland,53.410562,-6.4426
Instagram,Los Lunas,United States,34.812554,-106.780263
Instagram,Ashburn,United States,39.031176,-77.470283
WeChat,Hong Kong,China,22.396428,114.109497
WeChat,Silicon Valley,United States,37.387474,-122.057543
WeChat,Toronto,Canada,43.7001138,-79.4163055
WeChat,Shanghai,China,31.2222222,121.4580536
WeChat,,Singapore,1.352083,103.819836
WeChat,Mumbai,India,19.01441,72.8479385
WeChat,Frankfurt,Germany,50.1166667,8.6833334
WeChat,Seoul,South Korea,37.5663889,126.9997253
WeChat,Moscow,Russia,55.7522222,37.6155548
WeChat,Tokyo,Japan,35.6895266,139.6916809
WeChat,Washington,United States,38.8951118,-77.0363693
WeChat,Dallas,United States,32.7830556,-96.8066635
WeChat,Sydney,Australia,-33.86785,151.2073212
WeChat,London,United Kingdom,51.5084153,-0.1255327
WeChat,Amsterdam,Netherlands,52.373084,4.8999023
WeChat,Beijing,China,39.9042,116.407396
WeChat,Shanghai,China,31.23039,121.473702
WeChat,Guangzhou,China,23.12911,113.264385
WeChat,Shenzhen,China,22.543096,114.057865
WeChat,Hangzhou,China,30.274084,120.15507
WeChat,Tianjin,China,39.343357,117.361648
WeChat,Chongqing,China,29.431586,106.912251
WeChat,Chengdu,China,30.572815,104.066801
WeChat,Mainland (city unknown),China,37.8694444,112.5602798
WeChat,Mainland (city unknown),China,22.9333333,112.0333328
WeChat,Mainland (city unknown),China,43.88,125.3227768
WeChat,Mainland (city unknown),China,28.2,112.9666672
WeChat,Mainland (city unknown),China,36.6683333,116.9972229
RBS,Edinburgh,United Kingdom,55.953252,-3.188267
RBS,Dalkeith,United Kingdom,55.893118,-3.066606
RBS,Gurugram,India,28.459497,77.026638
RBS,Zurich,Switzerland,38.979222,-94.772516
ICBC,Shanghai,China,31.23039,121.473702
ICBC,Beijing,China,39.9042,116.407396
Alibaba,Beijing,China,39.9042,116.407396
Alibaba,Kuala Lumpur,Malaysia,3.139003,101.686855
Alibaba,Silicon Valley,United States,37.387474,-122.057543
Alibaba,Virginia,United States,37.431573,-78.656894
Alibaba,Sydney,Australia,-33.86882,151.209296
Alibaba,Frankfurt,Germany,50.1166667,8.6833334
Alibaba,Tokyo,Japan,35.689487,139.691706
Alibaba,Hong Kong,China,22.396428,114.109497
Alibaba,,Singapore,1.352083,103.819836
Alibaba,Dubai,United Arab Emirates,25.204849,55.270783
Alibaba,Qingdao,China,36.067108,120.382609
Alibaba,Zhangjiakou,China,40.767544,114.886335
Alibaba,Huhehaote,China,40.842356,111.749995
Alibaba,Hangzhou,China,30.274084,120.15507
Alibaba,Shanghai,China,31.23039,121.473702
Alibaba,Shenzhen,China,22.543096,114.057865
